date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:06	3117/3117	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516614-c2d%22	http://cleanuitemplate.com/package/assets/vendors/bootstrap-show-password/bootstrap-show-password.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/bootstrap-show-password/bootstrap-show-password.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:07	59293/59293	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516661-e79d%22	http://cleanuitemplate.com/package/assets/vendors/moment/min/moment.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/moment/min/moment.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:07	48759/48759	---MCZ	200	added ('OK')	application/javascript	etag:W/%22585166a0-be77%22	http://cleanuitemplate.com/package/assets/vendors/eonasdan-bootstrap-datetimepicker/build/js/bootstrap-datetimepicker.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/eonasdan-bootstrap-datetimepicker/build/js/bootstrap-datetimepicker.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:10	16651/16651	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516639-410b%22	http://cleanuitemplate.com/package/assets/vendors/bootstrap-sweetalert/dist/sweetalert.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/bootstrap-sweetalert/dist/sweetalert.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:10	120104/120104	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516648-1d528%22	http://cleanuitemplate.com/package/assets/vendors/fullcalendar/dist/fullcalendar.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/fullcalendar/dist/fullcalendar.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:11	8122/8122	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516666-1fba%22	http://cleanuitemplate.com/package/assets/vendors/remarkable-bootstrap-notify/dist/bootstrap-notify.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/remarkable-bootstrap-notify/dist/bootstrap-notify.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:12	151094/151094	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516644-24e36%22	http://cleanuitemplate.com/package/assets/vendors/cleanhtmlaudioplayer/src/jquery.cleanaudioplayer.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/cleanhtmlaudioplayer/src/jquery.cleanaudioplayer.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:13	162608/162608	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516644-27b30%22	http://cleanuitemplate.com/package/assets/vendors/cleanhtmlvideoplayer/src/jquery.cleanvideoplayer.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/cleanhtmlvideoplayer/src/jquery.cleanvideoplayer.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:13	38905/38905	---MCZ	200	added ('OK')	application/javascript	etag:W/%225851664b-97f9%22	http://cleanuitemplate.com/package/assets/vendors/ionrangeslider/js/ion.rangeSlider.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/ionrangeslider/js/ion.rangeSlider.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:13	42854/42854	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516664-a766%22	http://cleanuitemplate.com/package/assets/vendors/owl.carousel/dist/owl.carousel.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/owl.carousel/dist/owl.carousel.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:14	92203/92203	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516668-1682b%22	http://cleanuitemplate.com/package/assets/vendors/summernote/dist/summernote.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/summernote/dist/summernote.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
